year,month,medium,political_lean,partisanship_scenario,diet_threshold,value
2021,11,tv,R,lenient,75,0.0707521814139714
2021,12,tv,R,lenient,75,0.0634126769720377
2022,1,tv,R,lenient,75,0.0626592085150339
2022,2,tv,R,lenient,75,0.0730009190300088
2022,3,tv,R,lenient,75,0.073773894454238
2022,4,tv,R,lenient,75,0.069207818945818
2022,5,tv,R,lenient,75,0.0672501247618517
2022,6,tv,R,lenient,75,0.0664686975948165
2022,7,tv,R,lenient,75,0.0655523603058907
2022,8,tv,R,lenient,75,0.0660608172501832
2022,9,tv,R,lenient,75,0.0617947276652558
2022,10,tv,R,lenient,75,0.0640934629226793
2016,1,tv,R,stringent,75,0.035874607955722
2016,2,tv,R,stringent,75,0.0296973096795734
2016,3,tv,R,stringent,75,0.0398630120395725
2016,4,tv,R,stringent,75,0.034370552612808
2016,5,tv,R,stringent,75,0.0333463695188187
2016,6,tv,R,stringent,75,0.0383274036325491
2016,7,tv,R,stringent,75,0.045192989052439
2016,8,tv,R,stringent,75,0.0401000871433538
2016,9,tv,R,stringent,75,0.0394539893708394
2016,10,tv,R,stringent,75,0.0408272332027011
2016,11,tv,R,stringent,75,0.0546221700586735
2016,12,tv,R,stringent,75,0.0455977831657326
2017,1,tv,R,stringent,75,0.0536542305662307
2017,2,tv,R,stringent,75,0.0563713327952313
2017,3,tv,R,stringent,75,0.0503616678718546
2017,4,tv,R,stringent,75,0.0515675770215199
2017,5,tv,R,stringent,75,0.050333169166653
2017,6,tv,R,stringent,75,0.051154293675532
2017,7,tv,R,stringent,75,0.050054830403142
2017,8,tv,R,stringent,75,0.0468960949183013
2017,9,tv,R,stringent,75,0.0422878349270905
2017,11,tv,R,stringent,75,0.0486664378043503
2017,12,tv,R,stringent,75,0.0477914007702967
2018,1,tv,R,stringent,75,0.0465485026870989
2018,2,tv,R,stringent,75,0.0485178347926664
2018,3,tv,R,stringent,75,0.0472010646290657
2018,4,tv,R,stringent,75,0.0500939110535892
2018,5,tv,R,stringent,75,0.0474722385754676
2018,6,tv,R,stringent,75,0.0531602022780886
2018,7,tv,R,stringent,75,0.0507603962037512
2018,8,tv,R,stringent,75,0.0496196054044392
2018,9,tv,R,stringent,75,0.0477846700062259
2018,10,tv,R,stringent,75,0.054509289070508
2018,11,tv,R,stringent,75,0.0514377099892571
2018,12,tv,R,stringent,75,0.0449161202294034
2019,1,tv,R,stringent,75,0.0602977765423602
2019,2,tv,R,stringent,75,0.0664794292439249
2019,3,tv,R,stringent,75,0.061494542555228
2019,4,tv,R,stringent,75,0.064509923677637
2019,5,tv,R,stringent,75,0.0610108759063897
2019,6,tv,R,stringent,75,0.0578913778659642
2019,7,tv,R,stringent,75,0.0623106880074491
2019,8,tv,R,stringent,75,0.0629305483388978
2019,9,tv,R,stringent,75,0.0559000560682287
2019,10,tv,R,stringent,75,0.0633214156776927
2019,11,tv,R,stringent,75,0.0636233983098552
2019,12,tv,R,stringent,75,0.0637589513494916
2020,1,tv,R,stringent,75,0.0696737934511461
2020,2,tv,R,stringent,75,0.0724035052187102
2020,3,tv,R,stringent,75,0.0775487925557824
2020,4,tv,R,stringent,75,0.0815951487614992
2020,5,tv,R,stringent,75,0.0748574145926642
2020,6,tv,R,stringent,75,0.0757197971355541
2020,7,tv,R,stringent,75,0.0750927872521855
2020,8,tv,R,stringent,75,0.0783826428491317
2020,9,tv,R,stringent,75,0.0860931477788052
2020,10,tv,R,stringent,75,0.0887811215288202
2020,11,tv,R,stringent,75,0.0979355059247129
2020,12,tv,R,stringent,75,0.0689060048376682
2021,1,tv,R,stringent,75,0.0754285367106229
2021,2,tv,R,stringent,75,0.0657901183180104
2021,3,tv,R,stringent,75,0.0631969089259929
2021,4,tv,R,stringent,75,0.066638700161085
2021,5,tv,R,stringent,75,0.0627455040476841
2021,6,tv,R,stringent,75,0.0624156316015375
2021,7,tv,R,stringent,75,0.061309826837038
2021,8,tv,R,stringent,75,0.0661537660724246
2021,9,tv,R,stringent,75,0.0687889908315228
2021,10,tv,R,stringent,75,0.0647563868090846
2021,11,tv,R,stringent,75,0.0707521814139714
2021,12,tv,R,stringent,75,0.0634126769720377
2022,1,tv,R,stringent,75,0.0626592085150339
2022,2,tv,R,stringent,75,0.0730009190300088
2022,3,tv,R,stringent,75,0.073773894454238
2022,4,tv,R,stringent,75,0.069207818945818
2022,5,tv,R,stringent,75,0.0672501247618517
2022,6,tv,R,stringent,75,0.0664686975948165
2022,7,tv,R,stringent,75,0.0655523603058907
2022,8,tv,R,stringent,75,0.0660608172501832
2022,9,tv,R,stringent,75,0.0617947276652558
2022,10,tv,R,stringent,75,0.0640934629226793
